Index,Electrolyte,Cathode,Difference in TEC,Average TEC
252,Li1Nb1S2,Li2Mn1O3,0.143815794,0.483088911
253,Cs2Li1Nb1S4,Li2Mn1O3,0.020652963,0.56532329
254,Al1Li1S2,Li2Mn1O3,0.134334084,0.62216385
255,Li2S3Te1,Li2Mn1O3,0.29795695,0.703975283
256,F3La2Li1O8S2,Li2Mn1O3,0.032735753,0.571364685
257,B2Li2S5,Li2Mn1O3,0.045690359,0.532151629
258,Au1Li1O14S4,Li2Mn1O3,0.00464228,0.552675668
259,Cr1Li1S2,Li2Mn1O3,0.033799143,0.538097237
260,Er1Li1S2,Li2Mn1O3,0.182894489,0.646444052
261,F1Li1O3S1,Li2Mn1O3,0.107273481,0.608633549
262,Li1S2Ti1,Li2Mn1O3,0.039973662,0.535009977
263,Ho1Li1S2,Li2Mn1O3,0.112035135,0.611014375
264,Dy1Li1S2,Li2Mn1O3,0.088995581,0.599494599
265,Li1S2Y1,Li2Mn1O3,0.009198123,0.55959587
266,Cs2Li1S4V1,Li2Mn1O3,0.04815061,0.579072113
267,B1Li3S3,Li2Mn1O3,0.161874268,0.635933942
268,B1Cs1Li2S3,Li2Mn1O3,0.104969889,0.607481753
269,Li1Rb2S4V1,Li2Mn1O3,0.038037631,0.574015624
270,Li2S3U1,Li2Mn1O3,0.025565978,0.567779797
271,Cd1Ge1Li2S4,Li2Mn1O3,0.196860375,0.653426996
272,Cs1Li1O4S1,Li2Mn1O3,0.093321957,0.601657786
273,Li3P1S4,Li2Mn1O3,0.255292816,0.682643216
274,Li1Rb2S4Ta1,Li2Mn1O3,0.028466041,0.540763788
275,K1Li1S1,Li2Mn1O3,0.907503405,1.008748511
276,B3Ba1Li1S6,Li2Mn1O3,0.026233218,0.541880199
277,B1Ba1Li1S3,Li2Mn1O3,0.032756717,0.571375167
278,H1Li1O4S1,Li2Mn1O3,0.005151107,0.557572362
279,Eu1Ge1Li2S4,Li2Mn1O3,0.154045305,0.632019461
280,I1Li6P1S5,Li2Mn1O3,0.663157082,0.886575349
281,Li1P1S4Zn1,Li2Mn1O3,0.163919953,0.636956784
282,Li1Nb1Rb2S4,Li2Mn1O3,0.002588674,0.556291145
283,As1Li1S2,Li2Mn1O3,0.211533192,0.660763404
